Comment,Class
지랄 ㄴㄴ 지금 공기업 사장이 많이 받아봐야 연봉 n억대이고 직원들 연봉도 공무원보다 좀 나은 수준인데 민영화되면 오너는 대기업 안 부럽게 재산 축적할거고 직원들 평균연봉도 1~2억씩 찍을걸? 그 돈을 누가 부담하게 될까? 공공재는 결국 독과점 시장이 될 수밖에 없기 때문에 일반기업처럼 효율을 높이기는 한계가 있는 반면에 돈을 뽑아내는건 케이크를 먹는 것보다 쉽다. 지하철 요금 2배로 오른다고 지하철 안 탈거임? ㅋㅋ 신자유주의 열풍으로 한창 민영화 유행하다가 이거 사기극인거 다 깨닫고 잠잠해졌는데 좌파같은 소리 하네 병신이,1
세금은 100원은 안되고 요금 300원은 된다고 생각하는 조삼모사 원숭이보다 못한 병신새끼들이나 민영화 찬성하지 ㅋㅋ 뭐? 적자 보전비용도 세금이라고? 민영화하면 그걸 다 요금에 몇배로 후려칠거란 생각을 못하는건가 ㅋㅋㅋ,1
"ㄴ 1. 민영화된다면, 기업의 총수와 직원이 고액의 봉급을 받게 될 것이라는 근거는?2. 민영화된 기업의 총수와 직원이 고액의 봉급을 받게 된다고 하더라도, 당해 기업이 국가로부터 어떠한 지원도 받지 않는다는 것이 전제된다면 이는 문제가 아님. 그만큼 소비자에게 좋은 상품을 판매함으로써 소비자의 선택을 많이 받았다는 뜻이니까.3. 공공재라는 용어를 어떻게 정의할 수 있음? 공공이라는 개념부터가 실체를 수반하지 않음. 아무도 책임을 지지 않는 재산인데 누가 이를 소유한다고 말할 수 있음?",0
"4. 전철의 요금을 비싸다고 생각하면, 전철을 이용하지 말고 버스나 자가용 자동차 등을 이용하면 됨. 그 누구도 개인에게 전철을 이용할 것을 강요하지 않음. 이것이야말로 자본주의의 원리임.",0
"민간기업은 본질적으로 영리추구 집단이지 공익추구 집단이 아님. 합법적으로 자기들 이익을 극대화 하려는건 당연한 거고 종종 개짓거리를 하기도 함. 알만한 대기업들 개짓거리 하다가 과징금 쳐먹은거 얼마나 나오는지 검색이나 해봐라 ㅋㅋ 그런데 국민 기본생활과 밀접히 관련되는 재화를 독과점해서 공급한다? 자유경쟁시장 원리가 제대로 작동할 거라 생각하냐? ㅋㅋㅋㅋ 그리고 공공재 개념은 경제학, 행정학에서 명확히 정의하고 있는데 어떻게 정의할거냐니 시발 넌 뭐 아는게 있긴 하냐?",1
민영화 되면 자유시장경제에서 경쟁해서 퀄 올라감 ㅅㄱ~,0
마약합법화는 씹ㅋㅋㅋㅋ,1
지옥 끝까지 떨어지노 저나라는 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅈ망테크인데 작은정부하면,1
"그렇지, 무정부 자본주의를 실시해야지. 국가라는 것은 결국 개인의 자유를 침해하는 집단이니까.",0
나라망햇노 리버스 찢인데?,1
한국도 저런 대통령이 필요 급진적으로 변하는  - dc App,0
공교육폐지는 뭔 생각이냐좌파 독재자나 할 발상인데  - dc App,0
공교육이야말로 사회주의적인 제도임,0
사회주의에서도 좋은건 해야 씨발ㄹ련아   - dc App,1
한국 꼬라지 보면 솔직히 있으나 마나 하긴하잖아,0
공교육이라도 있어서 범죄율 그나마 낮은거다 ㅇㅇ...,0
역시 메시의 나라,0
영아 구매하러 가야겠노,0
그래도 마약 합법화는 너무 나간거 아닌가 싶네. 이미 퍼질대로 퍼져서 포기한건가,0
이미 ㅈㄴ 퍼져서 그냥 정부가 ㅈㅈ 친거라거 보면 됨  - dc App,1
민좆당보다 낫네 진지하게,1
트럼프 끌어들인게 ㅈㄴ 웃기네  - dc App,1
아르헨티나 입장에선 잘한거 맞는데?,0
아르헨티나 백인 ㄹㄹ들 ㅈ됐노 ㅋㅋㅋ,1
체인소맨ㅋㅋ,0
말만 저러지 막상 대통령되면 발뺄게 한두가지가 아니노 ㅋㅋㅋㅋ,1
마약 합법할만하네 나라 꼬라지 ㅋㅋㅋㅋ,1
장기매매 영아거래 마약합법화는 니미이 세개를 보고도 야갤 븅신들은 나라 살아나겠네 ㅇㅈㄹ ㅋㅋㅋ  - dc App,1
그따위꺼 굶어보면 좆도 아님 그런건 살만할때나 지키는거여,1
경제는 좋아지겠네 마약 수출국 가즈아,0
멍청한 소리하고 자빠졌네국제제재 쳐맞고 외화벌이하겠다고 국가주도로 양귀비 재배해서 전세계에 팔고 다니는게 북한인데 마약수출하잔 얘기는 그 전철을 똑같이 밟자는거랑 뭐가 달라 ㅋㅋㅋ또 안 그래도 개판인 나라에 마약을 합법화하면 국민들이 뽕에 취해서 나라의 생산능력이 떨어졌으면 떨어졌지 경제가 발전하겠냐?   - dc App,0
병신아 집앞에 나가도 코카인 대마 구하기 존나게 쉬운데 이미 할놈은 하고 안할놈은 안함 정해졌고 이 검은돈을 정부가 가져가면 국부에 훨씬 도움이 되는거임,1
응 지랄마 먹고 살려면 마약제조국이라도 돼야제,1
"ㄴㄴ 개소리하네검은 돈을 손에 대는 순간 스스로 왕따선언하고 제재쳐맞겠다는 선언하는거다 빙신아 ㅋㅋ 이건 뭐 목 마르다고 바닷물 마시자는 꼴이지또 마약,영아, 장기매매가 합법화되면 안 그래도 씹창인 나라에 마약을 통한 중범죄가 이루어지기 쉬울텐데 그건 감당가능하고?나라운영을 무슨 심시티하는걸로 아나  - dc App",1
"ㄴ 118.219와 같이 저능한 국가주의자들이 내뱉는 궤변과 달리, 장기매매·영아매매·마약매매를 합법화하는 것은 전혀 문제가 아님. 1. 장기매매는 개인의 자유임. 자기의 신체를 처분할 권리는 자기에게 있음.2. 영아매매는 현재 양지에서도 활발하게 이루어지고 있음. 단지 국가가 당해 사업을 독점하고 영아에 대한 가격을 0으로 고정해뒀을 뿐. 민간에게 시장을 개방하여 독점을 해소하자는 것이 어째서 문제가 됨?3. 마약매매는 장기매매와 마찬가지로 개인의 자유임. 개인이 자발적으로 타인과 계약하여 원하는 것을 취득하겠다는데 국가가 무슨 자격으로서 이에 간섭함?국가주의자들은 논리적 일관성을 갖추지 않고 그저 자기들의 형편에 좋을대로 떠들어댐. 그 정도의 지능을 가졌으니까 국가를 옹호하는 것이겠지만",0
경제쪽은 잘할거같네,0
ㅈ된거 같은데  - dc App,1
똑똑한 청년.,0
30년 후에는 저런 나라도 있었다고역사에서 배우겠네,0
반면교사  - dc App,0
ㅋㅋㅋㅋ이건 그냥 폭동인데 보수도 진보도 아니라  - dc App,0
좌우 막론하고 정부통제 좋아하는 조선기준으로나 그렇지 자유지상주의자라서 서양기준으론 보수임,0
음....ㅋㅋㅋ  - dc App,0
어차피 망한나라 저렇게라도 해야지,0
달러페그제 개같이 망하고 나라 완전히 망하겠노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ홍콩도 힘들어서 포기각 재고있는게 달러페그인데 아르헨이 무슨 총알이 있어서 저걸하노,0
이미 망해있는 나라임,0
아르헨티나 금리가 130퍼인데 뭘 망하겠노야 이미 개쳐망해있는데 ㅋㅋㅋㅋㅋ 은행이 돈이 없어서 환전을 못해준다,1
아르헨 돈이 아르헨 현지에서 사용 불가급인데 뭔 ㅋㅋ,0
보통 이런자료는 좌파쪽에서 선동 ㅈㄴ 들어가있음ㅋㅋㅋ 마약재배 이런건 까고보면 태국스타일로 대마합법화 이정도 수준이고 이런식으로 한두단계씩 올려서 구라반 진실반으로선동 ㅈㄴ함ㅋㅋㅋㅋ,1
아르헨 좌파 정권이 나라 좆망시켜서 중앙은행이 작동을 못하고 그냥 나라 전체가 좆창났음. 그래서 저런 과격파가 당선될수 있는거,1
아르헨은 걍 어떤 정당 어떤 대통령이 들어서건 답이 없음 포클랜드 전쟁 이후로 상종못할 병신 취급 받아서 남미 패권국 위치도 브라질한테 뺏겼고 ㅋㅋ,1
영아매매는 아동성매매 문제로 번질거같은데..,0
국민들이 안락사 선택해,1
저사람 친미 우파이고 기존에 아르헨티나 망한게 극좌여서 돈 다 퍼주고 나라에 돈 없으니깐 은행에서 돈 ㅈㄴ 찍어서 화폐가치 폭락한거임. 좌빨새기들 선동 ㅈㄴ끼워파네 ㅋㅋㅋㅋ 진짜 살기 좋았으면 정권이 왜 바뀜??,0
그니까 ㅋㅋ 트럼프때랑 똑같이 또 사람 병신만들기 시작하노,1
아르헨의 윤두창이네,0
재앙이같은 놈이 연임해서 아르헨 저꼴난거,0
총기소지 허용은 참..ㅋㅋ 아마 미국쪽 군수업체 스폰 받은거 같네 미국내에서도 좌우 안가리고 총기소지 안좋게보는 기조 생기니  - dc App,0
에너지 공기업 민영화하고 물가 박살나겠노 ㅋㅋ,0
물가를 상승시키는 주체는 민간 기업이 아니라 국가(중앙은행)임. 국가가 화폐발행권을 독점하고 통화량을 팽창시키니까 화폐가치가 하락함으로써 물가가 상승하게 되는 것.,0
ㅋㅋㅋㅋ  - dc App,0
다른건 몰라도 총기는 ㅋㅋ,0
"공교육, 공중보건이야말로 사회주의적 발상임",0
실제 연설보니까 가짜광기같던데 ㅋㅋ,0
대 메 갓,0
우리도 이재명 뽑았으면 저런애를 필요로 했을걸 좌파정권연임의 무서움이지,0
나라 좆망하고 처형당할듯 ㅋㅋ,1
뭐야? 탁재훈 어디갔어  - dc App,0
소멸 ㅇㅇ,0
어차피 좆망국가 자극적인걸로 표빠는거고 저기서 제대로 시행될법한게 중앙정부 축소랑 기후 좆까 총기합법화정도려나,1
영아매매 합법화랑 낙태반대가 동시에 있노 ㅋㅋㅋㅋ,0
정치인 잘못뽑아서 좆되는거 한순간이구나 아무리 국힘좆같아도 그냥 국힘찍어야겠다...,1
ㄹㅇ ㅅㅂ ㅋㅋㅋㅋㅋ 앵간해야지  - dc App,1
관뚜껑에 못질하러 온 놈이노,1
개막장나라라 이게 되네,1
장기매매 영아거래는 취소한걸로 아는데,0
민주당도 학살하고 지지자들은 무시하면 되지ㅎ,0
대한민국은 윤카덕에 씹창지대 ㅋㅋㅋ,1
러시아가 세계 최대 밀생산국인게 함정 ㅋㅋ,0
https://gall.dcinside.com/board/view/?id=baseball_new11&no=10371212&page=1 오늘자 만신 1 12443,0
서양에선 미개하다고 아무도 안빠는 미국을 또 숭배하는구나... 펨대남 야대남 ㅂㅅ들,1
?,0
"홍어평야가 무슨 세계의 곡창ㅋ 근처 나라들하고만 비교해도 중국 발가락에도 못 미치고, 일본이랑 비교해도 관동은 커녕 2등급짜리 간서지방에 밀림",1
네다통^^,1
아르헨은 ㅈㄴ 부럽더라 소고기가 무슨 야채보다 쌈;  - dc App,0
옛말이다 좆나비싸다 요즘은,1
아르헨새기들은 백인국가랍시고 흑인 배척하면서 꺼드럭거렸는데 왜망한거냐 유난히 민도가 낮은건가,0
이런거보면 한국여성분들이 확실히 이쁘긴 이쁜듯,0
평야는 유럽이랑 아메리카 대륙에 못 비빈다 규모 단위가 다름,0
미국은 ㄹㅇ 좆사기네 - dc App,1
미국 중국 인도 러시아가 있는데 캐나다따리가 무슨 곡물 1~2위야,0
이해력이 많이 떨어지나보다..,0
수출부문이라고 써있는데....,0
https://gall.dcinside.com/board/view/?id=baseball_new11&no=10371212&page=1 오늘자 만신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
개소리고 화학비료 없으면 ㅄ되는 땅이 태반인데ㅋㅋㅋ,1
지하 / 금 오일 셰일 + 지상 / 곡창 씹사기캐 그자체 일수밖에 없다...,1
남한은 전라도 없으면 안되겠구나,0
애미 시발,1
빨강사기맵 씨발련ㅋㅋㅋㅋ,1
전라도가 시발 무슨 곡창지대냐 ㅋㅋㅋ 미국비하면 쥐꼬리만해서비교자체가 성립안될거같은데 ㅋㅋ,1
세계의 (여러나라의) 곡창지대를 소개하는거임,0
미국은 그냥 씨앗만 던져놔도 알아서 잘 큰다면서 개씹사기 국가   - dc App,1
방장 맵사기 ㅋㅋ,0
천조국 방장맵 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
https://gall.dcinside.com/board/view/?id=baseball_new11&no=10371212&page=1 ㅋㅋㅋㅋ,0
정보) 한반도에서 제일 넓은 호남평야를 다 긁어모아도 캐나다 서부 산투성이 동네 밴쿠버의 평야지대보다 좁다,0
빨강사기맵인데 빨강이 엘리시키고 흰색이먹었네,0
역시 빨강 사기맵. 지력 존나게 먹는 옥수수 농사도 그냥 계속 해도 상관없는 지역,1
나라가 병신이라 그렇지 땅 자체는 우크라이나 러시아가 미국보다 밀 농사짓기 좋음,1
호남평야라고 사진을 올렸는데 바로 산이 보이노 ㅋㅋㅋ,0
그나마 전라도가 농경지 흉내라도 내볼수 있음,0
그냥 밀가루 얼마 하지도 않는거 사먹으면 되지 ㅋㅋ,0
프랑스 우크라이나가 존나 개사기네ㅋㅋ,1
그래서 러우전쟁 터질 때 전세계적으로 식량 타격이 컸음,0
산업혁명 전까진 프랑스가 유럽 1짱이엿음 독일은 신롬때 내부분열 ㅈㄴ심해서 대놓고 군사모아서 싸우지도못햇고,0
미국 콘벨트에서 나오는 옥수수로 전세계인구 1명당 콘푸레이크 연간 20㎏씩 배당 가능할 정도. 그많은 옥수수가 소 사료로 쓰임.,0
미국은 그냥 사기임,0
저런 미국 통수치고 짱깨 전승절 갔던 박근혜 ㅅㅂ년은 얼마나 개새낀거냐,1
미국 개사기;;;,0
"그냥 미국응디 뒤에 붙어라 진짜…..…세계최강 군대, 영토, 식량, 지식, 산업…에휴 ㅅㅂ…ㅋㅋㅋ - dc App",1
갔다와서 바로 사드박아버림 ㅋㅋㅋ - dc App,0
"빵즈들아,너희들이 자칭 '평야'라고 부르는 곳은 중국의 개인농장 보다도 작은 땅이다.그 좁디 좁은 우물에서 벗어나 한 번 대국에 와서 너희들의 그 작은 그릇을 깨뜨려라.진심 너희 잘되라고 하는 말이다.",0
미국은 ㄹㅇ 못하는게 없노...,0
진짜 게임이였으면 걍 씹사기라서 맵이라 밸런스 패치 하라고 폭동 났을 듯,1
호남평야 ㅇㅈㄹ ㅋㅋㅋㅋㅋ애미터진새끼 ㅋㅋㅋㅋㅋ  - dc App,1
인디언들은 대체 뭐하던 병신들이길래 저 미국땅에서 수천년동안 ㅋㅋ,1
목화지대 웃음벨 ㅋㅋㅋㅋ,0
미국은 농지에 지도 들고가야될판인데 ㅋㅋㄱ,0
미국이 개사기인게 우리나라 제일 비옥한 땅 들고가도 미국에선 ㅍㅎㅌㅊ정도밖에 안됨면적뿐만 아니라 질도 ㅆㅅㅌㅊ - dc App,1
ㄹㅇ임 양도 질도 후달림,1
진짜 개씹조센은 땅덩어리도 좁아 터졌는데 그땅으로 농사하는게 손해보는거 아님? (진짜모름),1
아무리 현대 사회에서 농업 중요도가 떨어졌다고 해도 수입에만 의존하다 당장 식량 부족 문제 생길 수 있음,0
진짜모르는 거에서 학력이보인다  - dc App,0
근데 홋카이도가 근대 이후에 개발돼서 곡창지대된 거임???에도시대만 해도 춥고 척박해서 관심 안 가진 땅 아니었음???  - dc App,0
개조센은 뭐 저딴것도 없냐 ㅋㅋㅋ,1
"중국, 일본, 베트남이 2모작할 때 한반도는 그런 거 없었음 ㅋㅋㅋㅋ",0
"조선이 동시대 중국, 일본보다 발전 못한 이유가 생산성이 딸려서 1차산업에만 집중하다 보니 상공업에 신경 쓸 여유가 없어서 그런 것도 클 듯",0
홍어평야 개 지랄하네 ㅋㅋㅋ,1
단군행님 원순철안깔았노 ㅋㅋㅋㅋㅋ,1
미국은 곡창지대도 있고 석유도 나고 희토류도 나고 없는 게 없어.   인재도 전세계에서 자석처럼 끌어모으고.   이런데도 중국이 미국 이긴다는 빨갱이들은 죽여야 해.,0
빨갱이 좌빨 좌비씨도 저것만큼은 미국편이던데,1
ㅇㅂ  - dc App,0
성경에 나오는 젖과 꿀이흐르는 가나안 땅이 아메리카 대륙이란 말도 있음,0
홍어평야가 저기 낄 체급이 아닌데,0
역시 전라도가 최고네,0
호남평야가 ㅈ으로 보이냐,1
미국사기맵 씨발 ㅋㅋ 식민지새끼들이 본가보다 훨씬 세진게 말이되노,1
조센 = 자원도 병신인데 농사지을 땅도 존나 없음 개똥땅 단군씨발창년새끼,1
미국 저 새끼들은 저기 갇히면 걍 실종돼서 뒤진다며ㅋㅋㅋ,1
그건 걍 열등감 해소하려고 만들어낸 괴담이고,0
미국ㅋㅋㅋㅋ,0
호남평야가 생산량 더 높음,0
방장사기맵 씨발,1
프랑스가 워낙 ww2때 개털려서 그렇지 산업혁명 부스트 받은 영국이 1등먹기 전까진 대부분의 시기에 프랑스가 유럽의 선두주자였음,0
그나마 합스부르크가 스페인지역 통합하고 난뒤에 1등 잠깐먹었지 독일은 제국이라 내부분열 ㅈㄴ심했고 영토확장전 러시아는 변방이라 인구도 프랑스보다 적었었음 괜히 옛날 유럽 있는집안은 프랑스어 ㅈㄴ배웠던게 아님,0
미국 이 새끼들은 기름도 나오고 토지도 비옥하고 세계 기술의 보고이기 까지 한데 중국 따위가 어케이긴다고 견제하는거임 ㅋㅋ,1
빨강사기맵 ㅅㅂ,1
방장사기맵 천조국 ㄷㄷ,0
나라별로 볼때 조선에선 곡창지대라 할만한 곳이 호남평야 뿐이라는 말이야 해석이 됐니 친구들아?,0
미국 방장사기맵ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
빨강사기맵,0
.,0
냅두면 GS꼴 났을듯,0
존나웃기네,1
건설 ㅈ으로했노,1
https://gall.dcinside.com/board/view/?id=baseball_new11&no=10371212&page=1 오늘자 만212신,0
ㅋㅋㅋ,0
아파트값 폭락 ㅋ,0
솔직히 그나마 살아야하니깐 구매하는거지 ㅅㅂ 부동산이 건물 자재값이 전부가 아닐뿐이지 건물 자체 퀄리티는 반값해야한다고 본다 존나 미적감각도 없어서 디자인 ㅂㅅ같음 한국 아파트들은,1
얘 글 ㅈ도 재미없는데 념은 꾸준히 잘가네,1
심술,0
존나재밌는데 지랄이노,1
좆틀니냄새나는 무지성 씹노잼정치글보다는 나음,1
그 단톡이 또 닉네임 갈았나보지 ㅋㅋ,0
고닉이 연댤아 념글가는거 처음보는 것도 아니잖아,0
주작+단톡방 - dc App,0
다른커뮤에서 퍼오기만해서 ㄴㅈ임,0
재밌으라고 올리는 게 아니라 강제로 보여주려고 올리는거라서 노잼인건 상관 없을거임,0
좆주작이니깐 ㅋㅋ,1
바람에~~ 날려버린~~ 허무한 맹세였나~~,0
마계 망천 수준,1
인천 <- 이거 하나로 모든게 설명 가능,1
ㅋㅋ - dc App,0
인천 주안 <- 돈없는 깡패새끼들 사는 개거지 동네 저딴 동네에 청약 28대1 이라니 ㅋㅋ,1
ㄴ벽에 똥쳐바르고 철근 빼먹고 꺼듯하면 무너져 내리는 씨발징 화났노?ㅋㅋㅋ,1
"형틀목공이었단 게이로써 말해주자면, 거푸집이 무너진건 애미가 심하게 터진게 맞다.",1
"저게 무너지려면, 한국말도 못하는 짱개나 베트남, 태국인 심지어 리트비아 같은 아프리칸 흑인이나 러시안놈들 데려다가 대충 폼 핀이랑 망치 쥐우저고 대충 채우라고 했을 가능성 씹 100%. 그거 귀찮은거 하나하나 제대로 채웠겠냐?",1
"거기에 콘크리트 못으로 바닥 나무못제대로 박아주고 그 위에 폼 올릴 때 또 못으로 제대로 고정해서 박아줘야 하는데, 그런거 씨발 제대로 했겠냐고 그러니까 쓰러진게 맞다.",1
"어차피 외노자 아니면 집 못짓는거, 그러면 건설사가 각성해서 이 악물고 이젠 그런거 하나하나 체킹해야겠지?",0
이래도 중대재해처벌법 폐지하자는 두창의힘 개보수 수준,0
나라가 걍 폰지노 ㅋㅋㅋㅋ,1
진짜 한국 건축은 씨발 답이없다 ㅋㅋㅋ 지진한번 큰 거 터지면 그냥 나라멸망이라고 생각해야됨,1
원래 지진 큰거 터지면 답 없다 일본도 고베 대지진때 건물이며 도로 다 무너지고 말 아니였다,0
ㄴ씨발징 눈물의 물귀신 작전 응 개센징은 서울에 진도 7만와도 다무너져 내릴거다,1
7도 많이 쳐준듯 한 5만 와도 걍 도미노마냥 다 개박살날듯 ㅋㅋ,0
마계,0
씨발 무슨 짱깨도 아니고 어메이징하노 ㅋㅋㅋㅋ,1
최근 5년 내로 지어진 아파트는 절대 사면 안됨. 야가다판은 이미 조선짱개놈들이 판을 쳐서 건설공법도 다 짱개식으로 바뀌었음. 가라 존나 침.,1
조센징은 짱깨 까면안됌 ㅋㅋㅋㅋㅋ,1
느금마는 냄새나는 개보지 짱깨여서 까도 됨 요즘도 애미가 필리핀에 보지 팔러 많이 다니시냐?,1
팩트) 조센 전통방식이다,1
'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천',0
'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'인천' '주안' ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
시발 주안에 살정도면 얼마나 좆거지에 민도씹창이라는거냐 진지하게 저기 아파트살바에 서울 노도강금관구가 훨낫다,1
돌풍이라도 불었던거 아니냐,0
늑대가 우흥~하고 우는데 해질녘만 되면 우~흥~그러면 아기돼지들은 어찌하면 되겠느냐 셋째돼지가 벽돌집을 꺼내기전에 좀 조용히 했으면 좋겠어,0
"기존 건축수주현장들 공사비로는 현재단가 못맞추니깐 당연히 자재등을빼서 후려칠수밖에 없고, 그러니 부실시공나오는거고 ㅋㅋ   - dc App",0
자재뿐만 아니라 공사도 빨리 빨리 날림으로 하니까 더 지랄나는거임 광주 아이파크 무너질때 한층 한층 너무 빨리 올려서 문제였다고 함,1
진짜 윤두창새끼 대통령 되고나서나라에 제대로 돌아가는일이없네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ두창이 탄핵이 살길이다,1
노가다 밑바닥직업들 임금 올려주기싫다고 외노자로 땜빵하더니 나라망해가노,1
또 재앙이 그새끼야? 지겹다 진짜 ㅋ,1
바람의 정령이여 폭풍의 정령이여 내 기도를 들으사저 좆 같은 공구리 거푸집을 일격에 소멸하여 주시옵소서..,1
팩트) 원래 무너지는거다 억까하는중 - dc App,0
거푸집 고정 어설프게 대충하면  부지기수로 무너짐  부실시공 하고는 또 다른 문제임,0
거푸집을 어설프게 고정한걸 부실시공이라고 하는거야,0
타설을 해서 무너지면 이해라도 가는데 안했는데 무너지는건 머냐? 수수깡으로 만들었냐,0
중국이 아니라고?  - dc App,0
두창이 보유국 클라스 ㅋㅋㅋㅋ,1
주안역이랑 1키로 넘게 떨어져있는데 이정도 거리도 요즘은 역세권으로 쳐주냐? ㅋㅋ 사기꾼 새끼들,1
우-러 전쟁 이후 아파트는 답이 없다. 인건비에 자재값 감당이 안되니 저러는거임,0
바람이 쌔면 넘어가는경우 많음  - dc App,0
쵸마마 쵸마마ㅏ마,0
기업을 조져야댐,0
지랄하네 ㅋㅋㅋㅋ.  어떻게 공사하면 거푸집이 무너지냐? ㅋㅋㅋㅋㅋㅋ.,1
기리바리 똑바로 안했노 일머리없네,0
이 얘기 할라핶는데 ㅋㅋㅋㅋ 짱깨팀들이 했을듯,0
왜 한국이냐,0
일머리 있던 노가다쟁이들은 다 어디감?,0
벌만치 벌고 닭튀기러감,0
zzzzzzzzzzzzzzzzzzzzz,0
층고가 높아보이는데 1차 타설을 안했나?,0
조센 썩파트 ㅋㅋㅋ,1
"태풍이 와도 안무너 지는게 거푸집이어야하는데,,,",0
1,0
기술사 행님이 말씀하신거면 뭐 ㅇㅇ,0
그저 소짱깨 ㅋㅋ,1
"저기 안전,공사관리자들 초비상이겟네 ㅋㅋ - dc App",0
ㅋㅋ 중국과 한국의 공통점 둘다 바퀴벌레임,1
다 짱깨가 하잖아 ㅋㅋ,1
이정도면 조선이 소중화가 아니라 짱깨가 대조센이라고 해야할듯 ㅋㅋㅋㅋㅋㅋㅋ  - dc App,1
먼지가~ 되어~ 날아가~야지~~ 바람에~ 날려~ 당신곁으로~~,0
어떻개 지었길래 거푸집이 무너지냐;  - dc App,0
거푸집 무너져서 두명 죽은거 내가 다니는 현장이네 ㅋㅋㅋ 청주 동양 2차 파라곤,0
중국인 노동자들 자재빼처먹고 날림공사에 똥오줌으로 마무리까지 씨발 요즘 아파트는 다 그렇게 짓는다 보면된다,1
나 저기서 인력 하루뛰었었는데5시다되서 끝나는 개같은 현장,0
족고수,0
이거 봐봐 https://m.dcinside.com/board/neostock/4581564,0
ㅋㅋㅋㅋ,0
이미 몸에 베었노,0
존나 신기하네,1
갯벌 ㅈㅋ 찐득거려서 싫음,0
ㅗㅜㅑ;;,0
어캐했노 ㅋㅋㅋ,0
70 80이면 공장장이노,0
안대쓰고는 어캐잡았냐?,0
주작이니까 ㅋㅋ 달인에 한 두번 속냐?,1
"저거까지 주작하긴 어려우니 마치 이런게 아닐까? 옛날 문방구 오락실기계 바닥틈에 백원짜리 동전이 가끔 떨어져있듯이, 게임오버되서 무턱대고  손넣어봤는ㄷ, 역시 있었군 이런느낌이랄까",0
40년 경력이면 그냥 무의식적으로 되는거,0
안대써도 아래로 다 보인다 그거로초능력자인척하는새끼들이 역사적으로수천명은됨,1
